"name","estimate","margin_of_error","order","geoid","st","cnty","Line_Type","Substandard_Housing","Affordability","Bedrooms"
"Dinwiddie County, Virginia","70.0","77.0","10.0","05000US51053","51","053","D","Standard","RHUD50","2"
"Dinwiddie County, Virginia","70.0","110.0","11.0","05000US51053","51","053","D","Standard","RHUD50","3 or more"
"Dinwiddie County, Virginia","0.0","161.0","12.0","05000US51053","51","053","S","Standard","RHUD80","All"
"Dinwiddie County, Virginia","0.0","161.0","13.0","05000US51053","51","053","D","Standard","RHUD80","0 or 1"
"Dinwiddie County, Virginia","0.0","161.0","14.0","05000US51053","51","053","D","Standard","RHUD80","2"
"Dinwiddie County, Virginia","0.0","161.0","15.0","05000US51053","51","053","D","Standard","RHUD80","3 or more"
"Dinwiddie County, Virginia","0.0","161.0","16.0","05000US51053","51","053","S","Standard","Greater than RHUD80","All"
"Dinwiddie County, Virginia","0.0","161.0","17.0","05000US51053","51","053","D","Standard","Greater than RHUD80","0 or 1"
"Dinwiddie County, Virginia","0.0","161.0","18.0","05000US51053","51","053","D","Standard","Greater than RHUD80","2"
"Dinwiddie County, Virginia","0.0","161.0","19.0","05000US51053","51","053","D","Standard","Greater than RHUD80","3 or more"
"Fairfax County, Virginia","7520.0","1348.0","1.0","05000US51059","51","059","T","All","All","All"
